# Index		Plot Coordinate		Eigenvector Energy


          76  -4.000000      0.14280369877815247     
          76   4.000000      0.14280369877815247     
 
 
          77  -4.000000      0.14348854124546051     
          77   4.000000      0.14348854124546051     
 
 
          78  -4.000000      0.14351500570774078     
          78   4.000000      0.14351500570774078     
 
 
          79  -4.000000      0.14367467164993286     
          79   4.000000      0.14367467164993286     
 
 
          80  -4.000000      0.14370201528072357     
          80   4.000000      0.14370201528072357     
 
 
          81  -4.000000      0.14391726255416870     
          81   4.000000      0.14391726255416870     
 
 
          82  -4.000000      0.14391791820526123     
          82   4.000000      0.14391791820526123     
 
 
          83  -4.000000      0.14411011338233948     
          83   4.000000      0.14411011338233948     
 
 
          84  -4.000000      0.14418731629848480     
          84   4.000000      0.14418731629848480     
 
 
          85  -4.000000      0.14453558623790741     
          85   4.000000      0.14453558623790741     
 
 
          86  -4.000000      0.14458256959915161     
          86   4.000000      0.14458256959915161     
 
 
          87  -4.000000      0.14480426907539368     
          87   4.000000      0.14480426907539368     
 
 
          88  -4.000000      0.14482593536376953     
          88   4.000000      0.14482593536376953     
 
 
          89  -4.000000      0.14490301907062531     
          89   4.000000      0.14490301907062531     
 
 
          90  -4.000000      0.14494059979915619     
          90   4.000000      0.14494059979915619     
 
 
          91  -4.000000      0.14525453746318817     
          91   4.000000      0.14525453746318817     
 
 
          92  -4.000000      0.14525485038757324     
          92   4.000000      0.14525485038757324     
 
 
          93  -4.000000      0.14535573124885559     
          93   4.000000      0.14535573124885559     
 
 
          94  -4.000000      0.14586450159549713     
          94   4.000000      0.14586450159549713     
 
 
          95  -4.000000      0.14586924016475677     
          95   4.000000      0.14586924016475677     
 
 
          96  -4.000000      0.14619755744934082     
          96   4.000000      0.14619755744934082     
 
 
          97  -4.000000      0.14620323479175568     
          97   4.000000      0.14620323479175568     
 
 
          98  -4.000000      0.14636965095996857     
          98   4.000000      0.14636965095996857     
 
 
          99  -4.000000      0.14638210833072662     
          99   4.000000      0.14638210833072662     
 
 
         7  -4.000000      0.14661709964275360     
